|neutral|,|sim-only 500 minuten + 100 SMS + 500 MB + internet versneller vanaf  28.50  #Telfort http://t.co/eiLlmD0zPT|
|neutral|,|sim-only 150 minuten + 100 SMS + 500 MB vanaf  16.50  #Telfort http://t.co/ogHnI3TTQf|
|neutral|,|@DhrHaVoC @UPC bestel het ziggo warruor pakket ;)|
|negative|,|@MrZeeQa @UPC ja onfnie UPC, moet ik overstappen naar ziggo?!?!?|
|neutral|,|@DhrHaVoC @UPC OE KILLEM je dreigt UPC door over te stappen naar ziggo|
|neutral|,|@Fvoorschot Wat is precies aan de hand? Krijg je een sms herhaaldelijk van KPN, of blijf je zelf een bepaalde sms versturen?|
|positive|,|UPC neemt voortouw ontwikkeling wifi http://t.co/mqxWSJA9Cf|
|neutral|,|sim-only 500 minuten + 1000 SMS + 1500 MB (blackberry) vanaf  48.00  #Telfort http://t.co/eiLlmD0zPT|
|negative|,|@UPC ^RH. Mediabox herstellen naar fabrieksinstellingen heeft helaas niet geholpen. Weer na aantal uren op 1 kanaal vastloper met volume +/-|
|negative|,|Ziggo en UPC gaan NOS WK dienst niet doorgeven http://t.co/G4qCLbGbTY|
|neutral|,|Sony Ericsson Xperia arc S Black, Bel-SMS 350, 1 jaar ~  12 KPN ~ Mobiel  vanaf  0 #KPN   http://t.co/mvI8Zzo4MO|
|negative|,|@UPC ^RH Niets doet het dan nog. Zelfs niet op standbye zetten. Alleen uit zetten met aan/uitknop op mediabox zelf.|
|negative|,|RT @derots: Ziggo en UPC gaan NOS WK dienst niet doorgeven http://t.co/G4qCLbGbTY|
|neutral|,|@UPC het is denkik al goed. Het kan ook aan mijn versterker liggen. Mvg|
|neutral|,|#ziggo Even een update, hardwired maar met 1 lange CAD5 kabel (even geen CAD5E of CAD6 beschikbaar) nu... http://t.co/rf5DsYftb8 &lt;-Antw.|
|negative|,|Kost in tijd nog maar een dag, in ergernis beduidend meer. #kpn #fail Nog maar 11,5 mnd te gaan :(|
|neutral|,|sim-only 500 + Data Medium vanaf  20.00  #Tele2 http://t.co/eiLlmD0zPT|
|neutral|,|@UPC ja, ik heb nu modem van horizon geactiveerd. Nu geen wifi probleem. 20 down/6,5mb up. Lijkt toch probleem met losse modem te zijn.|
|negative|,|#tele2 Groot, onpersoonlijk, onbereikbaar? Is allemaal op @Tele2Nederland van toepassing wat mij betreft. http://t.co/AObFwwVj6s|
|neutral|,|Klant bij @upc of Ziggo en wil jij gebruik kunnen maken van de NOS WK dienst via de rode knop, kom dan in actie! http://t.co/xhjDNnR0yO|
|positive|,|@UPC nee, zit niks tussen en probleem is op alle apparaten. Dank voor het meedenken; hopelijk snel een oplossing.|
|neutral|,|sim-only 1000 minuten + 1000 MB vanaf  45.00  #Telfort http://t.co/kEu1j8HXkw|
|neutral|,|@UPC Is goed. Ik wacht het af. Prettig weekend verder.|
|neutral|,|sim-only 150 minuten + 1000 SMS + 1500 MB + internet versneller vanaf  34.00  #Telfort http://t.co/LbJU8AOlZB|
|neutral|,|RT @derots: Klant bij @upc of Ziggo en wil jij gebruik kunnen maken van de NOS WK dienst via de rode knop, kom dan in actie! http://t.co/xh|
|neutral|,|KPN Tablet 2500 MB vanaf  35.00 Mobiel Internet http://t.co/A5YAI1FrMc|
|negative|,|@UPC er is geen storing, die router van jullie is zo zwak dat ik boven al bijna geen ontvangst meer heb|
|neutral|,|sim-only 500 minuten + 500 MB + internet versneller vanaf  28.00  #Telfort http://t.co/hQ8vmGvMLi|
|neutral|,|sim-only 300 vanaf  7.00  #Tele2 http://t.co/eiLlmD0zPT|
|neutral|,|sim-only 500 minuten + 1000 SMS + 1000 MB + internet versneller vanaf  40.00  #Telfort http://t.co/ogHnI3TTQf|
|neutral|,|Gratis Jabra Chill headset, Bel-SMS 650, 2 jaar ~  24 KPN ~ Mobiel  vanaf  0 #KPN   http://t.co/UfLfJ4EmJx|
|neutral|,|Algemeen UPC neemt voortouw ontwikkeling wifi: UPC neemt voortouw ontwikkeling wifi Binnen Liberty Global neemt... http://t.co/CFgpjEEHqG|
|negative|,|@TimMassa @UPC heeft hier dagen geduurd voor we weer aangesloten waren upc monteurs en technische dienst werken in het weekend niet!!|
|neutral|,|Als u wilt weten waarom het aandeel #Ziggo het zo goed gedaan heeft, kijk eens naar de rel performance van #Liberty. https://t.co/s1lLcX3Pzq|
|neutral|,|sim-only 1000 minuten + 1500 MB + internet versneller vanaf  52.00  #Telfort http://t.co/eiLlmD0zPT|
|neutral|,|Het is weer release weekend. We zijn live! Weekend! #R20 #lpr #accenture #CRM #KPN http://t.co/JT8X9Xqvxn|
|neutral|,|Tv kijken bij UPC winkel :p|
|negative|,|Meer mensen problemen met internet van #ziggo omgeving 5011?|
|neutral|,|#PrinceNight op KX Radio succesvolle aanloop naar concert in @ZiggoDome http://t.co/EHAss1NOTv @markberendsen|
|neutral|,|Prince staat op 25 mei in de Ziggo Dome http://t.co/2fuh4e0OPX via @youtube|
|neutral|,|sim-only Alles in 1 Standaard vanaf  37.50  #KPN http://t.co/kEu1j8HXkw|
|neutral|,|Klant Adviseur voor project KPN: Hengelo,Enschede,Almelo http://t.co/TScTmH4ZTX #vacature #werk|
|positive|,|@upc top service! Dank voor het belletje. Probleem opgelost en internet doet het weer prima!|
|neutral|,|RT @KPNwebcare: @Fvoorschot Wat is precies aan de hand? Krijg je een sms herhaaldelijk van KPN, of blijf je zelf een bepaalde sms versturen?|
|neutral|,|T-Mobile lanceert binnenkort vernieuwde My T-Mobile-app http://t.co/LFrPFumG4o #nieuws #tech|
|neutral|,|RT @JensBAWZ: @kleinegrotebeer vodafone zeker ? - nee t-mobile ;s|
|positive|,|@Tele2Webcare We hebben een telfort simkaart gedurende een paar dagen getest, werkt zonder enkel probleem.|
|neutral|,|#Ziggo en #UPC gaan NOS WK dienst niet doorgeven: Sinds gister biedt de NOS bij de NOS Journaals aanvullende c... http://t.co/PxlAgYMhIF|
|neutral|,|sim-only 150 minuten + 1500 MB (blackberry) vanaf  30.00  #Telfort http://t.co/ogHnI3TTQf|
|neutral|,|sim-only 0 minuten + 100 SMS + 1500 MB vanaf  21.50  #Telfort http://t.co/LbJU8AOlZB|
|negative|,|Arch, enkele dagen geleden was het internet perfect van @UPC, maar nu.. #huilen|
|negative|,|#kpn #storing ook in provincie Utrecht?|
|negative|,|De pijnpunten van KPN's volledig Nederlandse #cloud - Computerworld http://t.co/4JiytWfDty|
|neutral|,|@ZiggoDome: @itaintoverorg: nog maar dag voor #prince in de #ziggodome http://t.co/NkS2YSkGYJ yeah!! 1e x #Ziggo veel goeds over gehoord|
|negative|,|Er is een nieuwe Klacht gemeld over Ziggo op Klacht.nl, zie http://t.co/NRcUh4I0SV Oplossen? Redactie@Klacht.nl.|
|neutral|,|sim-only 300 minuten + 1000 SMS vanaf  15.00  #Telfort http://t.co/kEu1j8HXkw|
