|negative|,|Lekker, ipv over 8 min, komt de bus over 34 min. Hoe kan dat|
|positive|,|Kijk mensen, wat een leuk bericht zo'n dag na Koningsdag, de Kliko-actie is gelukt|
|positive|,|Terug van Feyenoord. Hebben 5-1 gewonnen! Was erg leuk.|
|positive|,|Feestterrein bij ArenA open|
|positive|,|Hihi maar u bent er wel goed in hoor!! :)|
|positive|,|Eieren, choco, honing en vervallen tonijn in mijn haar, love it|
|positive|,|Er is niks dat mijn liefde voor jou kan wegnemen|
|positive|,|vindt middagdutjes onnozel, maar iedereen weet dat het supermegachill is|
|positive|,|KAMPIOENEN! 4 keer op rij ongelofelijk!! #AJAX #AMSTERDAM #KAMPIOEN|
|positive|,|Was gezellig met in Waalwijk|
|positive|,|pfffttt hahaha wow what a star that kid is a star|
|neutral|,|@Nietmezelf: @Chunkrinies @KajFanaccount IKKE OOK XD|
|positive|,|@Nicksenice: RT @ajax1nl: De weg naar Amsterdam is een ware zegetocht. Volle viaducten, mensen langs de weg. Mooie dingen! #Ajaxkampioen http://t.co/8q7|
|neutral|,|@speelschema: RT @naambetekenis: Betekenis naam Senna: http://t.co/uad6zh9KN2 #senna Kijk ook op: http://t.co/dcsXjVmaOR Retweet en volg @naambetekenis #|
|neutral|,|@SexyPotlood: RT @mainstreetffans: @SexyPotlood oh haha veel plezier|
|neutral|,|@globalistaa: @ja_bakker Tis alweer uren feest in mijn mentions. Wel geleerd dat ik een "vrouw" ben, geen idee wat dat verder betekent.|
|neutral|,|@DudeDutch: @JoopJack55 @Sylvana0902 LOL..niet in huis..geen andere keuze|
|neutral|,|@jurgengrit: RT @Rizoomes: @daankempeneers: Tsja. 1 vd slachtoffers was in passerende Huisartsauto gezet. Brandweer knipt die nu open. http://t.co/aaBj|
|neutral|,|@vivoperleeyum: RT @tjhols: harry styles in poche foto: http://t.co/tYkzCQxbXi|
|positive|,|@PvanderKemp: RT @Roofotografie: #Trampolinespringen tijdens #Koningsdag in #ermelo op hoog niveau. morgen meer op mijn site http://t.co/zXOXtVUMRB|
|neutral|,|@FrikandElless: Soms moet ik artiesten eerst live zien voordat ik hoor hoe goed ze zijn.|
|neutral|,|@Daniel_2000_: Lekker met spastische kindjes op de foto  Oh ga je met je neefjes op de foto? :))) http://t.co/7NpSimQpA1|
|neutral|,|@BBraveUpdate: @craicmynxrry we volgen je! Dm maar|
|neutral|,|@A3moedDealsterr: waaar wooon je  In een dooos lann http://t.co/2zrLPNqRQ1|
|positive|,|@Margot119: RT @AFCAjax: Deze mannen hebben 'm echt #4oprij gewonnen! http://t.co/2DfvWeakZd|
|neutral|,|@theyoungkid: RT @BreezyKimzy: Iedereen mag zijn/haar mening uiten en sws mag je reactie verwachten. That's life.|
|neutral|,|@mijndieriszoek: #VERMIST David (Kat/Abessijn ,bruin) - regio #Ammerstol http://t.co/0XgR3tljcI #MIJNDIERISZOEK|
|positive|,|@LeoKremer: Lekker weekend #Ameland achter de rug. Lekker fietsen, eten, chillen en uitblazen. #ditmoetenwevakerdoen|
|neutral|,|@BibiSpiazzi_: william tava beudoo de maais|
|neutral|,|@RyanMayberry5: @ChampionDiamond we won (:|
|neutral|,|@tommyverelst: @JOR_ID @Domien rookworst zonder R is ookworst|
|positive|,|@Mnfr3d: Op zondagavond een biertje uit Amersfoort. Het heet #Koeneridder van @RockCityBeers en het smaakt uitstekend http://t.co/Kez5Jtw1Nf|
|neutral|,|@touchturnfly: Overigens heb ik geen idee hoe formeel en hoe lang die speech moet worden. Tja. Ik zal het morgen wel horen.|
|neutral|,|@LyssaCk: Jaymax il me met k.o|
|neutral|,|@SultanJorge: @minadammit did we have ap hw|
|neutral|,|@Ashleeylissette: RT @gilmaliz: Spring break is over |
|neutral|,|@chkuyvenhoven: Fan van @Olgaperetyatko? Zometeen veel muziek van haar in onze uitz @MAXAvondconcert #radio4nl|
|positive|,|@DeSchachtJulie: RT @Louis_schmidt_: drie dagen school, zo moete de school weeken zijn |
|neutral|,|@TicketsFlight: Moroccan door http://t.co/PG897vAXLO|
|neutral|,|@Kickiomen: @OkkeIsCool Mocht niet van haar man, sorry|
|neutral|,|@sigridstuut: In de meivakantie op #Terschelling? Kom schilderen met uitzicht op de Waddenzee! Workshop op 30 april:|
|neutral|,|http://t.co/o2bHbCKp4H|
|neutral|,|@Shashashadrinaa: RT @marshallSA_: Hoe zeg je tegen iemand waar je van houdt dat het tijd is om weg te gaan?|
|neutral|,|@maffo95: RT @AjaxFanzoneNL: RETWEET als je een Ajacied bent! #4oprij #020kampioen|
|positive|,|@melissa_kop: Verjaardag was gezellig !|
|neutral|,|@Young__Jino94: Net home denk dat ik ziek word|
|positive|,|@POL_Transwijk: Enorme daling #autoinbraken #koeriersterslaan, #europaplein en #casino utrecht. Dankzij #politie, gem #utrecht en u als burger.|
|neutral|,|@PonyxWeetjes: Bellen met laura |
|neutral|,|@JokkeVervecke: RT @Sorayapauwels: Ik ben jaloers op mensen die zelfzeker en content zijn van hun uiterlijk|
|neutral|,|@DianavanderWal: @Appadviesnl dan begrijpen wij elkaar ;-)|
|negative|,|@aishanashaira_: 'Adam zoekt Eva' is toch echt wel het toppunt van slechte programma's. Holy crap.|
|neutral|,|@TeamFrankDeBoer: @ajaxmuseumNL: Video l Ibrahim Afellay wist het 6 jaar geleden al http://t.co/4sZd2tHQWa #4oprij #kampioen #AJAX|
|neutral|,|@mariettepasman: RT @deSocialeMedia: FRANKWATCHING ~ Social media: de strategie voorbij, op naar data &amp; inzichten http://t.co/c4Z9ADNUSB|
|neutral|,|@EdwinSieberichs: Wederom een groot LAN long trow systeem in de verhuur tot +8000 bezoekers! Frontloaded 3-weg geluid systeem. ESP http://t.co/fUB3k8jX4T|
|neutral|,|@MiNiiSURiNAMER_: @DANOx074  xWrm word je niey boos xchilique|
|neutral|,|@HETiSMARiEKE: Wat is je favoriete grap?  jij http://t.co/yhL0QloCcL|
|negative|,|@MikeGerritsen: RT @Lisaaath: Ze gaan het rijtje af, maar slaan twente over. Waar slaaaat dit op??  #studiosport|
|neutral|,|@EOnl: #Andries gaat in gesprek met @MartineVonk die van jongs af aan een passie heeft voor natuur, milieu en duurzaamheid. 23.50u #Ned2|
|negative|,|@YanaikaF: Pff wordt echt saaie avond|
|neutral|,|@tomwillemstad: RT @FKRotterdam: "Eenmaal Feyenoorder, blijf je altijd Feyenoorder." - @Koeman1963 #FEYcam #FeyenoordTillIDie|
|neutral|,|@vcdave97: @Princesslotje__ ze moe u wel afkunne dan hahaha|
|neutral|,|@abdelilah030: RT @AwaydaysNL: ME-busjes en de politie aanwezig op station Deventer. Foto via @EAGLES_FANS. http://t.co/tRPlTOPNry|
|negative|,|@marwamqdche: "@itsmenasj_: Veel marokkanen hebben iets tegen negers is me opgevallen" ja wollah echt vies|
|neutral|,|@wanny1986: @CouckeMarc maakte van @kvoostende een #weireldploegske|
|positive|,|@_Yannick_1995: Met mn liefje naar feyenoord geweest vandaag|
|neutral|,|@SherryTkh_: RT @xocndrllaxo: @SherryTkh_ wtf is dat retard bodoh u |
|positive|,|@jvo69: RT @AFCAjax: Gewoon omdat ie zo mooi is! @SereroThulani met de schaal! #4oprij http://t.co/yLqToiM2TY|
|neutral|,|@ReneBergman: FC Groningen: Seizoenkaarthouders 7 mei vrij toegang; verkoop start maandag om 9.00 uur http://t.co/okbNSTylNY|
|neutral|,|@roargoulding: RT @ITSALOVATIC_: @roargoulding IK WEET WAT HET IS  / JE MAAKT ME NIEUWSCHIERIG NU LAAR|
|negative|,|@johnwenneker: @NOSvoetbal Willen jullie stoppen met Joep Schreurder. Geen meerwaarde op beelden. #pseudospycholoog|
|negative|,|@Desteney_010: Opkankeren met iedereen ;)|
|positive|,|@Ajaxshowtimecom: RT @BvdPloegg: Fischer ontvangt zijn ploeggenoten in Amsterdam! Mooi! http://t.co/nVfZLB5DC2|
|neutral|,|@xKirstieDwight: Wil zo graag zo.n hoesje ontwerpen met een foto van Gief,maar zo zonde van het geld als ik alweer een nieuwe bestel :(|
|neutral|,|@volgass23: @Wimmel4 heeej alles goed|
|neutral|,|@legroep: heeft U een #website #webwinkel voeg dan http://t.co/bjhEsLwSLj als vriend toe op facebook voor #promotie van uw site|
|neutral|,|@isaakussx: RT @LachJeRot: Lichaam: 'tijd om te niezen' jij: *gaat in starthouding zitten* lichaam: 'haha was een grapje' #lachjerot|
|positive|,|@_SmokinDopee: damn  dat was funny af|
|neutral|,|@jajo6164: @Desiree_Laverne ik weet het, anders block ik je :-))|
|neutral|,|@Mainlicious_: @xmainiacss Wil je pleas sturen |
|neutral|,|@PaulusAlycia: Ik wil echt van school veranderen|
|neutral|,|@DeSchachtJulie: RT @JokeVanhee: Divergent is echt een topfilm wow! 1van beste die ik al heb gezien |
|neutral|,|@FreeOoh_Stacks: Hit dat shit|
|neutral|,|@JudithPorcelijn: RT @FiIosoof: Goede keuzes maak je door ervaring....en ervaring krijg je door verkeerde keuzes.|
|neutral|,|@NoaxLovexYou: @JuliaXxjes @Emmaxlove_ hoelang blijf je daar??|
